flutter-form-builder-ecosystem,2023-04,2,2,2,0,1,2,0,3,0,3,5,7,6
simply,2023-03,1,0,0,1,0,1,1,1,2,3,0,0,2
amogos,2023-06,0,0,0,0,0,0,0,0,4,0,0,0,0
html-bundler-webpack-plugin,2023-10,0,0,0,0,0,0,0,1,0,0,0,0,0
xknx,2023-03,1,0,0,1,0,0,0,2,0,0,0,1,0
timber,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
castopod,2023-05,0,0,0,0,0,0,0,0,0,0,0,0,0
rxts,2023-11,4,5,2,6,8,5,7,4,6,7,4,9,8
micro-web-stacks,2023-02,0,0,0,0,1,1,1,0,0,0,0,0,0
ffplayout,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,4
apollo,2023-03,1,3,3,2,1,5,2,2,2,1,1,2,0
redom,2023-12,0,0,0,0,0,0,0,0,0,0,0,0,3
lucide-icons,2023-04,0,0,0,6,0,1,3,5,6,7,8,5,2
farstar,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
rottingresearch,2023-05,0,0,0,0,0,0,2,0,0,0,3,3,0
playfulprogramming,2024-02,0,0,12,51,2,1,1,0,3,0,1,0,3
tj-actions,2023-02,0,0,0,0,0,0,1,1,0,0,0,0,0
sinytra,2024-01,0,0,0,0,0,0,0,0,0,0,0,0,0
bestofjs,2023-12,0,0,0,0,1,3,0,1,1,1,0,1,0
opencore-legacy-patcher,2023-06,1,1,0,0,0,0,1,0,0,0,0,0,0
kea,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,1
jsstore,2023-05,0,0,0,0,0,0,0,0,0,0,0,0,0
fast-endpoints,2023-05,0,0,0,0,0,0,1,0,0,0,0,0,0
blue-fire,2023-02,2,4,3,3,2,4,3,2,2,7,2,4,2
puppeteer-screen-recorder,2023-11,1,2,0,4,1,1,0,2,0,2,2,3,0
truecharts,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,1
photoviewer,2023-08,0,0,0,0,0,0,0,0,0,1,0,0,0
dribdat,2023-02,0,2,2,5,2,1,0,2,0,0,3,1,0
codingcoach-io,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,1
scuffle,2023-02,0,0,0,0,0,0,5,1,1,0,0,2,1
sqlkata,2023-02,2,2,2,10,2,3,4,2,1,1,3,0,4
figura,2023-07,0,0,0,0,0,0,2,3,4,1,2,4,1
javaistic,2024-01,0,0,0,1,0,0,0,0,0,0,0,0,0
malluscript,2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
bootstrap-vue-next,2023-05,0,0,0,0,0,0,3,1,5,1,3,0,7
esm,2023-08,4,8,8,6,7,9,4,6,5,7,8,8,3
clio,2023-09,2,0,0,0,0,0,0,0,0,1,0,1,0
ohmyform-sustainability,2023-03,1,0,1,2,1,1,0,2,0,0,0,0,0
x-spreadsheet,2023-08,3,2,1,0,5,3,2,2,6,2,2,1,4
diabot,2023-04,1,0,0,0,0,0,0,0,0,0,0,0,1
rsuite,2023-11,5,5,5,8,4,3,5,3,4,6,11,6,4
mapletestimony,2023-02,0,3,15,0,0,0,2,9,7,3,3,3,0
librepcb,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
fast-xml-parser,2023-05,0,0,2,3,3,2,8,2,0,4,1,5,1
dfir-iris,2023-07,3,2,1,10,2,2,1,8,10,7,6,8,10
chatmosphere,2023-09,0,0,0,0,0,0,0,1,0,0,0,0,0
infyomlabs,2023-07,3,5,8,0,2,3,0,1,1,2,3,2,1
stdlib,2023-11,0,1,3,6,1,3,2,2,0,17,53,20,5
buskill,2023-04,5,4,2,4,0,1,0,0,2,0,0,0,0
ng-matero,2023-05,1,0,1,1,0,1,0,1,0,1,0,1,1
react-admin,2023-05,2,0,1,0,1,1,3,0,1,6,1,5,4
tiptap,2024-02,37,28,34,27,26,27,33,28,23,20,25,21,36
deskreen,2024-01,0,0,2,2,1,1,3,0,1,3,1,0,2
wangeditor,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
rwf2,2023-11,3,0,0,1,1,0,1,2,1,0,0,1,2
boruta-server,2023-06,0,0,0,0,1,0,0,1,0,0,0,0,0
taon,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,0
duostories,2023-08,0,0,0,2,0,0,0,0,0,0,0,1,0
boxicons,2023-06,13,15,9,21,22,20,23,34,13,25,23,28,23
unts,2023-03,1,1,2,4,3,0,3,0,1,2,2,2,3
litestar,2023-05,2,1,0,3,4,1,1,2,4,16,13,16,21
convene,2023-03,6,6,0,5,0,6,9,8,20,12,5,4,1
pyke-osai,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
stopmodreposts,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,0
oddbird-open-source,2023-11,0,0,0,23,2,0,0,7,7,4,6,1,16
cglm,2023-03,0,1,1,0,0,0,1,1,3,2,4,2,0
umap,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
php_codesniffer,2023-12,2,3,1,0,2,43,22,10,3,14,10,8,6
selenium,2023-09,10,16,7,14,7,6,6,7,9,2,9,9,7
peerbit,2023-07,1,0,1,0,5,0,6,9,6,4,1,1,2
gapstyle,2023-04,1,1,0,0,0,0,0,0,0,0,1,0,1
microcks,2023-11,0,0,0,2,0,3,5,0,3,3,3,1,1
servo,2024-02,0,0,0,0,0,0,0,0,0,0,0,0,0
apiflask,2023-12,1,0,1,0,0,2,1,1,1,0,1,0,1
dialect,2023-12,2,0,0,0,0,2,1,1,0,2,0,1,0
