slug,index,Intervention,Time_after_intervention,commits_count,comments,amounts
IntellectualSites,0,1,0,53,0,1
IntellectualSites,1,1,1,3,0,0
IntellectualSites,2,1,2,2,0,0
IntellectualSites,3,1,3,5,0,1
IntellectualSites,4,1,4,0,0,0
IntellectualSites,5,1,5,1,0,0
IntellectualSites,6,1,6,10,0,0
KStateMachine,-6,0,0,0,0,0
KStateMachine,-5,0,0,0,0,0
KStateMachine,-4,0,0,0,0,0
KStateMachine,-3,0,0,2,0,0
KStateMachine,-2,0,0,0,0,0
KStateMachine,-1,0,0,0,0,0
KStateMachine,0,1,0,0,1,1
KStateMachine,1,1,1,0,0,0
KStateMachine,2,1,2,3,0,0
KStateMachine,3,1,3,1,0,0
KStateMachine,4,1,4,12,0,0
KStateMachine,5,1,5,17,0,0
KStateMachine,6,1,6,17,0,0
KinectToVR,-6,0,0,0,0,0
KinectToVR,-5,0,0,1,0,0
KinectToVR,-4,0,0,1,0,0
KinectToVR,-3,0,0,2,0,0
KinectToVR,-2,0,0,29,0,0
KinectToVR,-1,0,0,0,0,0
KinectToVR,0,1,0,18,5,7
KinectToVR,1,1,1,0,0,2
KinectToVR,2,1,2,12,0,0
KinectToVR,3,1,3,43,2,1
KinectToVR,4,1,4,14,0,0
KinectToVR,5,1,5,2,0,0
KinectToVR,6,1,6,14,0,0
LibrePCB,-6,0,0,17,0,0
LibrePCB,-5,0,0,13,0,0
LibrePCB,-4,0,0,0,0,0
LibrePCB,-3,0,0,0,0,0
LibrePCB,-2,0,0,3,0,0
LibrePCB,-1,0,0,10,0,0
LibrePCB,0,1,0,3,18,1
LibrePCB,1,1,1,5,0,0
LibrePCB,2,1,2,0,0,0
LibrePCB,3,1,3,4,0,0
LibrePCB,4,1,4,12,0,0
LibrePCB,5,1,5,18,0,0
LibrePCB,6,1,6,14,0,0
Linux-on-droid,-6,0,0,21,0,0
Linux-on-droid,-5,0,0,15,0,0
Linux-on-droid,-4,0,0,13,0,0
Linux-on-droid,-3,0,0,41,0,0
Linux-on-droid,-2,0,0,35,0,0
Linux-on-droid,-1,0,0,93,0,0
Linux-on-droid,0,1,0,92,0,1
Linux-on-droid,1,1,1,32,0,0
Linux-on-droid,2,1,2,15,0,1
Linux-on-droid,3,1,3,3,0,0
Linux-on-droid,4,1,4,6,0,1
Linux-on-droid,5,1,5,9,0,0
Linux-on-droid,6,1,6,1,0,0
LiterateInk,-6,0,0,0,0,0
LiterateInk,-5,0,0,0,0,0
LiterateInk,-4,0,0,0,0,0
LiterateInk,-3,0,0,0,0,0
LiterateInk,-2,0,0,0,0,0
LiterateInk,-1,0,0,8,0,0
