slug,index,Intervention,Time_after_intervention,releases_count,comments,amounts
site-prism,-3,0,0,0,0,0
site-prism,-2,0,0,4,0,0
site-prism,-1,0,0,2,0,0
site-prism,0,1,0,2,0,1
site-prism,1,1,1,0,0,0
site-prism,2,1,2,0,0,0
site-prism,3,1,3,2,0,0
site-prism,4,1,4,1,0,0
site-prism,5,1,5,0,0,0
site-prism,6,1,6,0,0,0
sorry-cypress,-6,0,0,0,0,0
sorry-cypress,-5,0,0,0,0,0
sorry-cypress,-4,0,0,0,0,0
sorry-cypress,-3,0,0,0,0,0
sorry-cypress,-2,0,0,0,0,0
sorry-cypress,-1,0,0,0,0,0
sorry-cypress,0,1,0,0,0,1
sorry-cypress,1,1,1,1,0,0
sorry-cypress,2,1,2,2,0,0
sorry-cypress,3,1,3,6,0,0
sorry-cypress,4,1,4,11,0,0
sorry-cypress,5,1,5,5,0,2
sorry-cypress,6,1,6,14,2,1
spaceship-prompt,-6,0,0,6,0,0
spaceship-prompt,-5,0,0,5,0,0
spaceship-prompt,-4,0,0,0,0,0
spaceship-prompt,-3,0,0,1,0,0
spaceship-prompt,-2,0,0,4,0,0
spaceship-prompt,-1,0,0,3,0,0
spaceship-prompt,0,1,0,8,0,1
spaceship-prompt,1,1,1,1,0,0
spaceship-prompt,2,1,2,4,0,1
spaceship-prompt,3,1,3,0,0,0
spaceship-prompt,4,1,4,2,0,0
spaceship-prompt,5,1,5,0,0,0
spaceship-prompt,6,1,6,3,0,1
statoscope,-6,0,0,0,0,0
statoscope,-5,0,0,0,0,0
statoscope,-4,0,0,0,0,0
statoscope,-3,0,0,0,0,0
statoscope,-2,0,0,0,0,0
statoscope,-1,0,0,0,0,0
statoscope,0,1,0,0,11,1
statoscope,1,1,1,0,0,1
statoscope,2,1,2,0,0,0
statoscope,3,1,3,9,14,6
statoscope,4,1,4,2,0,1
statoscope,5,1,5,2,8,2
statoscope,6,1,6,3,0,1
styleguidist,-6,0,0,5,0,0
styleguidist,-5,0,0,4,0,0
styleguidist,-4,0,0,0,0,0
styleguidist,-3,0,0,1,0,0
styleguidist,-2,0,0,1,0,0
styleguidist,-1,0,0,0,0,0
styleguidist,0,1,0,0,15,2
styleguidist,1,1,1,0,0,0
styleguidist,2,1,2,0,0,0
styleguidist,3,1,3,1,0,0
styleguidist,4,1,4,0,0,0
styleguidist,5,1,5,1,0,0
styleguidist,6,1,6,0,0,0
swiftwasm,-6,0,0,0,0,0
swiftwasm,-5,0,0,0,0,0
swiftwasm,-4,0,0,0,0,0
swiftwasm,-3,0,0,0,0,0
swiftwasm,-2,0,0,2,0,0
swiftwasm,-1,0,0,2,0,0
swiftwasm,0,1,0,0,3,1
swiftwasm,1,1,1,0,0,0
swiftwasm,2,1,2,0,0,0
swiftwasm,3,1,3,0,0,0
swiftwasm,4,1,4,5,0,0
swiftwasm,5,1,5,8,0,0
swiftwasm,6,1,6,1,0,0
swup,-6,0,0,2,0,0
swup,-5,0,0,0,0,0
swup,-4,0,0,1,0,0
swup,-3,0,0,1,0,0
swup,-2,0,0,1,0,0
swup,-1,0,0,3,0,0
swup,0,1,0,3,2,1
swup,1,1,1,6,0,0
swup,2,1,2,3,0,0
swup,3,1,3,0,0,0
swup,4,1,4,2,0,0
swup,5,1,5,1,0,0
swup,6,1,6,2,0,0
tastyigniter,-6,0,0,0,0,0
tastyigniter,-5,0,0,0,0,0
tastyigniter,-4,0,0,0,0,0
tastyigniter,-3,0,0,0,0,0
tastyigniter,-2,0,0,0,0,0
tastyigniter,-1,0,0,7,0,0
tastyigniter,0,1,0,0,2,1
tastyigniter,1,1,1,1,0,0
tastyigniter,2,1,2,3,0,0
tastyigniter,3,1,3,5,0,0
tastyigniter,4,1,4,2,0,0
tastyigniter,5,1,5,5,19,2
tastyigniter,6,1,6,7,1,1
tj-actions,-6,0,0,0,0,0
tj-actions,-5,0,0,0,0,0
tj-actions,-4,0,0,0,0,0
tj-actions,-3,0,0,0,0,0
tj-actions,-2,0,0,0,0,0
tj-actions,-1,0,0,0,0,0
tj-actions,0,1,0,0,0,1
tj-actions,1,1,1,5,0,0
tj-actions,2,1,2,0,0,0
tj-actions,3,1,3,5,0,0
tj-actions,4,1,4,0,0,0
tj-actions,5,1,5,5,0,1
tj-actions,6,1,6,2,0,0
unocss,-6,0,0,0,0,0
unocss,-5,0,0,0,0,0
unocss,-4,0,0,0,0,0
unocss,-3,0,0,0,0,0
unocss,-2,0,0,0,0,0
unocss,-1,0,0,0,0,0
unocss,0,1,0,2,4,1
unocss,1,1,1,4,2,2
unocss,2,1,2,5,10,5
unocss,3,1,3,5,35,22
unocss,4,1,4,5,0,0
unocss,5,1,5,5,0,0
unocss,6,1,6,4,0,0
vuejs,-6,0,0,3,0,0
vuejs,-5,0,0,2,0,0
vuejs,-4,0,0,0,0,0
vuejs,-3,0,0,1,0,0
vuejs,-2,0,0,0,0,0
vuejs,-1,0,0,6,0,0
vuejs,0,1,0,0,0,1
vuejs,1,1,1,3,0,1
vuejs,2,1,2,0,0,5
vuejs,3,1,3,2,0,2
vuejs,4,1,4,0,6,6
vuejs,5,1,5,0,4,3
vuejs,6,1,6,1,6,3
vueuse,-6,0,0,1,0,0
vueuse,-5,0,0,5,0,0
vueuse,-4,0,0,1,0,0
vueuse,-3,0,0,1,0,0
vueuse,-2,0,0,3,0,0
vueuse,-1,0,0,6,0,0
vueuse,0,1,0,3,64,30
vueuse,1,1,1,3,0,0
vueuse,2,1,2,6,0,0
vueuse,3,1,3,1,0,0
vueuse,4,1,4,0,0,0
vueuse,5,1,5,0,0,0
vueuse,6,1,6,0,0,0
webrecorder,-6,0,0,0,0,0
webrecorder,-5,0,0,0,0,0
webrecorder,-4,0,0,1,0,0
webrecorder,-3,0,0,3,0,0
webrecorder,-2,0,0,1,0,0
webrecorder,-1,0,0,0,0,0
webrecorder,0,1,0,1,5,2
webrecorder,1,1,1,0,0,1
webrecorder,2,1,2,1,0,1
webrecorder,3,1,3,0,3,1
webrecorder,4,1,4,2,0,0
webrecorder,5,1,5,2,0,0
webrecorder,6,1,6,2,0,1
yamada-ui,-6,0,0,0,0,0
yamada-ui,-5,0,0,0,0,0
yamada-ui,-4,0,0,0,0,0
yamada-ui,-3,0,0,0,0,0
yamada-ui,-2,0,0,0,0,0
yamada-ui,-1,0,0,0,0,0
yamada-ui,0,1,0,0,25,30
yamada-ui,1,1,1,0,0,0
yamada-ui,2,1,2,30,0,0
yamada-ui,3,1,3,0,0,0
yamada-ui,4,1,4,0,0,0
yamada-ui,5,1,5,0,0,0
yamada-ui,6,1,6,0,0,0
zulip,-6,0,0,2,0,0
zulip,-5,0,0,2,0,0
zulip,-4,0,0,1,0,0
zulip,-3,0,0,0,0,0
zulip,-2,0,0,1,0,0
zulip,-1,0,0,0,0,0
zulip,0,1,0,1,65,30
zulip,1,1,1,0,0,0
zulip,2,1,2,4,0,0
zulip,3,1,3,1,0,0
zulip,4,1,4,0,0,0
zulip,5,1,5,0,0,0
zulip,6,1,6,0,0,0
zxing-js,-6,0,0,0,0,0
zxing-js,-5,0,0,0,0,0
zxing-js,-4,0,0,0,0,0
zxing-js,-3,0,0,0,0,0
zxing-js,-2,0,0,1,0,0
zxing-js,-1,0,0,3,0,0
zxing-js,0,1,0,5,7,1
zxing-js,1,1,1,0,0,0
zxing-js,2,1,2,0,0,0
zxing-js,3,1,3,3,0,0
zxing-js,4,1,4,1,0,0
zxing-js,5,1,5,14,0,0
zxing-js,6,1,6,0,0,0
