slug,index,Intervention,Time_after_intervention,releases_count,comments,amounts
bootscore,-6,0,0,1,0,0
bootscore,-5,0,0,0,0,0
bootscore,-4,0,0,7,0,0
bootscore,-3,0,0,5,0,0
bootscore,-2,0,0,2,0,0
bootscore,-1,0,0,3,0,0
bootscore,0,1,0,1,16,1
bootscore,1,1,1,1,0,0
bootscore,2,1,2,4,0,0
bootscore,3,1,3,2,1,1
bootscore,4,1,4,1,0,0
bootscore,5,1,5,4,0,0
bootscore,6,1,6,5,0,0
bootstrap-vue-next,-6,0,0,0,0,0
bootstrap-vue-next,-5,0,0,0,0,0
bootstrap-vue-next,-4,0,0,0,0,0
bootstrap-vue-next,-3,0,0,0,0,0
bootstrap-vue-next,-2,0,0,0,0,0
bootstrap-vue-next,-1,0,0,0,0,0
bootstrap-vue-next,0,1,0,0,24,13
bootstrap-vue-next,1,1,1,0,31,17
bootstrap-vue-next,2,1,2,16,0,0
bootstrap-vue-next,3,1,3,10,0,0
bootstrap-vue-next,4,1,4,4,0,0
bootstrap-vue-next,5,1,5,0,0,0
bootstrap-vue-next,6,1,6,0,0,0
bugbakery,-6,0,0,0,0,0
bugbakery,-5,0,0,0,0,0
bugbakery,-4,0,0,0,0,0
bugbakery,-3,0,0,0,0,0
bugbakery,-2,0,0,1,0,0
bugbakery,-1,0,0,3,0,0
bugbakery,0,1,0,1,0,1
bugbakery,1,1,1,3,0,0
bugbakery,2,1,2,4,0,0
bugbakery,3,1,3,1,0,1
bugbakery,4,1,4,0,0,0
bugbakery,5,1,5,0,0,0
bugbakery,6,1,6,0,0,0
casbin,-6,0,0,1,0,0
casbin,-5,0,0,0,0,0
casbin,-4,0,0,1,0,0
casbin,-3,0,0,1,0,0
casbin,-2,0,0,3,0,0
casbin,-1,0,0,2,0,0
casbin,0,1,0,1,11,1
casbin,1,1,1,2,0,0
casbin,2,1,2,1,0,0
casbin,3,1,3,3,0,0
casbin,4,1,4,10,0,0
casbin,5,1,5,6,0,0
casbin,6,1,6,2,0,0
cncjs,-6,0,0,2,0,0
cncjs,-5,0,0,0,0,0
cncjs,-4,0,0,0,0,0
cncjs,-3,0,0,0,0,0
cncjs,-2,0,0,1,0,0
cncjs,-1,0,0,2,0,0
cncjs,0,1,0,18,0,1
cncjs,1,1,1,8,21,4
cncjs,2,1,2,5,0,0
cncjs,3,1,3,11,0,0
cncjs,4,1,4,1,0,0
cncjs,5,1,5,3,1,1
cncjs,6,1,6,2,0,0
commitizen-tools,-6,0,0,0,0,0
commitizen-tools,-5,0,0,0,0,0
commitizen-tools,-4,0,0,3,0,0
commitizen-tools,-3,0,0,4,0,0
commitizen-tools,-2,0,0,5,0,0
commitizen-tools,-1,0,0,0,0,0
commitizen-tools,0,1,0,1,7,2
commitizen-tools,1,1,1,1,12,3
commitizen-tools,2,1,2,1,6,3
commitizen-tools,3,1,3,1,14,6
commitizen-tools,4,1,4,3,5,4
commitizen-tools,5,1,5,1,0,2
commitizen-tools,6,1,6,1,11,10
cpeditor,-6,0,0,0,0,0
