slug,index,Intervention,Time_after_intervention,pulls_count,comments,amounts
buape,0,1,0,1,0,1
buape,1,1,1,2,0,0
buape,2,1,2,1,0,1
buape,3,1,3,2,1,1
buape,4,1,4,1,1,1
buape,5,1,5,4,4,4
buape,6,1,6,2,2,2
climatescape,-6,0,0,0,0,0
climatescape,-5,0,0,0,0,0
climatescape,-4,0,0,0,0,0
climatescape,-3,0,0,0,0,0
climatescape,-2,0,0,0,0,0
climatescape,-1,0,0,0,0,0
climatescape,0,1,0,1,0,1
climatescape,1,1,1,0,0,0
climatescape,2,1,2,2,0,2
climatescape,3,1,3,0,0,0
climatescape,4,1,4,6,0,6
climatescape,5,1,5,1,0,1
climatescape,6,1,6,0,0,0
commitizen-tools,-6,0,0,1,0,0
commitizen-tools,-5,0,0,1,0,0
commitizen-tools,-4,0,0,1,0,0
commitizen-tools,-3,0,0,1,0,0
commitizen-tools,-2,0,0,1,0,0
commitizen-tools,-1,0,0,1,0,0
commitizen-tools,0,1,0,0,7,2
commitizen-tools,1,1,1,1,12,3
commitizen-tools,2,1,2,1,6,3
commitizen-tools,3,1,3,1,14,6
commitizen-tools,4,1,4,0,5,4
commitizen-tools,5,1,5,0,0,2
commitizen-tools,6,1,6,0,11,10
cp-algorithms,-6,0,0,0,0,0
cp-algorithms,-5,0,0,0,0,0
cp-algorithms,-4,0,0,0,0,0
cp-algorithms,-3,0,0,0,0,0
cp-algorithms,-2,0,0,0,0,0
cp-algorithms,-1,0,0,0,0,0
cp-algorithms,0,1,0,1,12,2
cp-algorithms,1,1,1,0,5,1
cp-algorithms,2,1,2,0,7,4
cp-algorithms,3,1,3,7,54,15
cp-algorithms,4,1,4,2,8,3
cp-algorithms,5,1,5,0,0,0
cp-algorithms,6,1,6,0,2,5
design-tokens,-6,0,0,1,0,0
design-tokens,-5,0,0,1,0,0
design-tokens,-4,0,0,1,0,0
design-tokens,-3,0,0,0,0,0
design-tokens,-2,0,0,1,0,0
design-tokens,-1,0,0,0,0,0
design-tokens,0,1,0,4,1,6
design-tokens,1,1,1,6,0,7
design-tokens,2,1,2,2,0,2
design-tokens,3,1,3,1,0,0
design-tokens,4,1,4,1,0,0
design-tokens,5,1,5,1,0,1
design-tokens,6,1,6,1,0,1
disorientations,-6,0,0,1,0,0
disorientations,-5,0,0,1,0,0
disorientations,-4,0,0,0,0,0
disorientations,-3,0,0,1,0,0
disorientations,-2,0,0,1,0,0
disorientations,-1,0,0,0,0,0
disorientations,0,1,0,3,0,2
disorientations,1,1,1,1,0,0
disorientations,2,1,2,1,0,0
disorientations,3,1,3,4,0,3
disorientations,4,1,4,1,0,0
disorientations,5,1,5,1,0,0
disorientations,6,1,6,5,0,4
fullstackhero,-6,0,0,0,0,0
fullstackhero,-5,0,0,2,0,0
fullstackhero,-4,0,0,1,0,0
fullstackhero,-3,0,0,0,0,0
fullstackhero,-2,0,0,0,0,0
