slug,index,Intervention,Time_after_intervention,discussions_count,comments,amounts
fullstackhero,-3,0,0,14,0,0
fullstackhero,-2,0,0,19,0,0
fullstackhero,-1,0,0,6,0,0
fullstackhero,0,1,0,4,4,2
fullstackhero,1,1,1,9,0,0
fullstackhero,2,1,2,3,0,0
fullstackhero,3,1,3,2,3,1
fullstackhero,4,1,4,2,2,1
fullstackhero,5,1,5,2,0,1
fullstackhero,6,1,6,1,0,3
javers,-6,0,0,0,0,0
javers,-5,0,0,1,0,0
javers,-4,0,0,1,0,0
javers,-3,0,0,2,0,0
javers,-2,0,0,2,0,0
javers,-1,0,0,0,0,0
javers,0,1,0,0,5,1
javers,1,1,1,0,12,2
javers,2,1,2,0,1,1
javers,3,1,3,0,5,1
javers,4,1,4,0,0,0
javers,5,1,5,0,2,1
javers,6,1,6,0,10,1
jekyll,-6,0,0,2,0,0
jekyll,-5,0,0,1,0,0
jekyll,-4,0,0,5,0,0
jekyll,-3,0,0,0,0,0
jekyll,-2,0,0,4,0,0
jekyll,-1,0,0,3,0,0
jekyll,0,1,0,2,0,1
jekyll,1,1,1,5,0,0
jekyll,2,1,2,1,0,0
jekyll,3,1,3,3,0,0
jekyll,4,1,4,2,3,2
jekyll,5,1,5,0,0,4
jekyll,6,1,6,0,0,0
konstaui,-6,0,0,0,0,0
konstaui,-5,0,0,0,0,0
konstaui,-4,0,0,3,0,0
konstaui,-3,0,0,0,0,0
konstaui,-2,0,0,1,0,0
konstaui,-1,0,0,1,0,0
konstaui,0,1,0,0,1,1
konstaui,1,1,1,1,0,0
konstaui,2,1,2,0,0,0
konstaui,3,1,3,2,0,0
konstaui,4,1,4,0,0,0
konstaui,5,1,5,2,0,0
konstaui,6,1,6,2,0,0
kuma-ui,-6,0,0,0,0,0
kuma-ui,-5,0,0,0,0,0
kuma-ui,-4,0,0,0,0,0
kuma-ui,-3,0,0,0,0,0
kuma-ui,-2,0,0,0,0,0
kuma-ui,-1,0,0,0,0,0
kuma-ui,0,1,0,0,3,1
kuma-ui,1,1,1,0,0,0
kuma-ui,2,1,2,2,4,2
kuma-ui,3,1,3,2,34,5
kuma-ui,4,1,4,1,0,0
kuma-ui,5,1,5,1,12,8
kuma-ui,6,1,6,0,3,2
lobehub,-6,0,0,0,0,0
lobehub,-5,0,0,0,0,0
lobehub,-4,0,0,0,0,0
lobehub,-3,0,0,1,0,0
lobehub,-2,0,0,2,0,0
lobehub,-1,0,0,7,0,0
lobehub,0,1,0,14,0,2
lobehub,1,1,1,8,0,1
lobehub,2,1,2,11,2,9
lobehub,3,1,3,18,8,12
lobehub,4,1,4,17,17,6
lobehub,5,1,5,13,17,19
lobehub,6,1,6,7,20,13
logchimp,-6,0,0,0,0,0
logchimp,-5,0,0,0,0,0
logchimp,-4,0,0,0,0,0
logchimp,-3,0,0,0,0,0
logchimp,-2,0,0,0,0,0
logchimp,-1,0,0,0,0,0
logchimp,0,1,0,1,0,4
logchimp,1,1,1,4,0,4
logchimp,2,1,2,0,0,0
logchimp,3,1,3,3,0,0
logchimp,4,1,4,1,0,0
logchimp,5,1,5,0,4,4
logchimp,6,1,6,0,0,0
lucide-icons,-6,0,0,2,0,0
lucide-icons,-5,0,0,1,0,0
lucide-icons,-4,0,0,0,0,0
lucide-icons,-3,0,0,0,0,0
lucide-icons,-2,0,0,2,0,0
lucide-icons,-1,0,0,1,0,0
lucide-icons,0,1,0,0,9,1
lucide-icons,1,1,1,1,0,0
lucide-icons,2,1,2,0,0,0
